"@timestamp","process.parent.executable","process.parent.command_line","process.executable","process.command_line","process.pid","file.path","Target.process.executable","Target.process.pid","source.ip","destination.ip","dns.question.name","dll.path","registry.path","event.action"
"Jun 1, 2026 @ 14:21:06.097","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","36,860","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:06.112","C:\Program Files\Common Files\microsoft shared\ClickToRun\OfficeClickToRun.exe","""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe"" /service","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\FrequentOfficeUpdateSchedule.xml""","26,680","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:06.113","C:\Windows\System32\schtasks.exe","schtasks.exe /change /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /enable","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","19,652","-","-","-","-","-","-","-","-",end
"Jun 1, 2026 @ 14:21:06.138","C:\Windows\System32\schtasks.exe","schtasks.exe /Create /tn ""Microsoft\Office\Office Automatic Updates 2.0"" /XML ""C:\Program Files\Common Files\Microsoft Shared\ClickToRun\FrequentOfficeUpdateSchedule.xml""","C:\Windows\System32\conhost.exe","\??\C:\Windows\system32\conhost.exe 0xffffffff -ForceV1","11,348","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:06.249","C:\Windows\System32\services.exe","(blank)","C:\Windows\System32\sppsvc.exe","C:\Windows\system32\sppsvc.exe","16,316","-","-","-","-","-","-","-","-",start
"Jun 1, 2026 @ 14:21:06.264","-","-","C:\Windows\System32\schtasks.exe","-","26,680","-","-","-","-","-","-","C:\Windows\System32\taskschd.dll","-",load
"Jun 1, 2026 @ 14:21:06.295","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Path",modification
"Jun 1, 2026 @ 14:21:06.296","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Schema",modification
"Jun 1, 2026 @ 14:21:06.296","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Date",modification
"Jun 1, 2026 @ 14:21:06.296","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Hash",modification
"Jun 1, 2026 @ 14:21:06.297","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Author",modification
"Jun 1, 2026 @ 14:21:06.297","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Description",modification
"Jun 1, 2026 @ 14:21:06.297","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\URI",modification
"Jun 1, 2026 @ 14:21:06.298","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Triggers",modification
"Jun 1, 2026 @ 14:21:06.298","-","-","C:\Windows\System32\svchost.exe","-","1,964","-","-","-","-","-","-","-","HKLM\SOFTWARE\Microsoft\Windows NT\CurrentVersion\Schedule\TaskCache\Tasks\{660A63B0-48D1-42CC-BB86-1BFD4FBBAC90}\Actions",modification
"Jun 1, 2026 @ 14:21:06.332","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","20.135.4.173","-","-","-","disconnect_received"
"Jun 1, 2026 @ 14:21:06.358","-","-","C:\Program Files\Microsoft OneDrive\OneDrive.exe","-","35,608","-","-","-","173.10.254.170","20.135.4.173","-","-","-","connection_attempted"
"Jun 1, 2026 @ 14:21:06.362","-","-","C:\Windows\System32\svchost.exe","-","1,964","C:\Windows\System32\Tasks\Microsoft\Office\Office Automatic Updates 2.0","-","-","-","-","-","-","-",creation
