Depth,PID,Process,Process Name,Parent,Parent Name,Event Count,Alert Severity,Alert Score,Detection Types,Suspicious
2,24020,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,30448,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,8180,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,20308,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,32916,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,22780,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,25264,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,21536,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,7800,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,22372,C:\Windows\System32\schtasks.exe,schtasks.exe,C:\Program Files\Microsoft Office\root\Integration\Integrator.exe,integrator.exe,3,CRITICAL,100,LOLBin Abuse | Persistence via Cmdline | Rare Parent-Child | Sigma Match,YES
2,22348,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,21,CRITICAL,100,EDR Rule Detection | Malware Staging | Sigma Match,YES
2,24236,C:\Windows\System32\cmd.exe,cmd.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,2,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
2,30312,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,24,CRITICAL,100,EDR Rule Detection | Malware Staging | Sigma Match,YES
2,27136,C:\Windows\System32\cmd.exe,cmd.exe,C:\Users\DELL\office_portable_x3.exe,office_portable_x3.exe,3,CRITICAL,100,Defense Evasion | EDR Rule Detection | LOLBin Abuse | PowerShell Payload | Sigma Match | Suspicious User-Agent / Tool,YES
