Timeline #,Timestamp,Alert ID,Tactic ID,Tactic,Tactic Order,Process,Parent Process,Detection Type,Risk Score,Severity,MITRE Technique,MITRE Name,Destination IP,Registry Path,Detail
300,"Jun 1, 2026 @ 14:24:02.704",AH-205C8635,TA0001,Initial Access,0,C:\Windows\System32\wscript.exe,C:\Windows\System32\svchost.exe,EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child | Svchost Script Spawn,100,CRITICAL,T1059.005,Visual Basic,,,"Security rule fired on: wscript.exe | ""C:\Windows\System32\wscript.exe"" C:\Users\Public\Pictures\kelotopu\xuvotopo.js ; Living-off-the-land binary: wscript.exe ; Suspicious spawn: svchost.exe → wscript.exe ; svchost spawned script engine with suspicious path: ""c:\windows\system32\wscript.exe"" c:\users\public\pictures\kelotopu\xuvotopo.js"
301,"Jun 1, 2026 @ 14:24:03.113",AH-B3937651,TA0001,Initial Access,0,C:\Windows\System32\wscript.exe,C:\Windows\System32\svchost.exe,EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child | Svchost Script Spawn,100,CRITICAL,T1059.005,Visual Basic,,,"Security rule fired on: wscript.exe | ""C:\Windows\System32\wscript.exe"" C:\Users\Public\Pictures\kelotopu\xuvotopo.js ; Living-off-the-land binary: wscript.exe ; Suspicious spawn: svchost.exe → wscript.exe ; svchost spawned script engine with suspicious path: ""c:\windows\system32\wscript.exe"" c:\users\public\pictures\kelotopu\xuvotopo.js"
302,"Jun 1, 2026 @ 14:24:03.128",AH-5912DCB3,TA0001,Initial Access,0,C:\Windows\System32\wscript.exe,C:\Windows\System32\svchost.exe,EDR Rule Detection | LOLBin Abuse | Sigma Match | Suspicious Parent-Child | Svchost Script Spawn,100,CRITICAL,T1059.005,Visual Basic,,,"Security rule fired on: wscript.exe | ""C:\Windows\System32\wscript.exe"" C:\Users\Public\Pictures\kelotopu\xuvotopo.js ; Living-off-the-land binary: wscript.exe ; Suspicious spawn: svchost.exe → wscript.exe ; svchost spawned script engine with suspicious path: ""c:\windows\system32\wscript.exe"" c:\users\public\pictures\kelotopu\xuvotopo.js"
303,"Jun 1, 2026 @ 14:24:03.255",AH-FF635C19,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,C:\Windows\System32\wscript.exe,Malware Staging | Network Outlier | Sigma Match,80,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
304,"Jun 1, 2026 @ 14:24:03.693",AH-97AB148B,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,C:\Windows\System32\wscript.exe,EDR Rule Detection | Malware Staging | Network Outlier | Sigma Match,100,CRITICAL,T1036,Masquerading,,,"Security rule fired on: uusd.exe | ""C:\Users\Public\Pictures\kelotopu\uusd.exe""  ; Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper"
305,"Jun 1, 2026 @ 14:24:04.296",AH-D059498A,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,100,CRITICAL,T1036,Masquerading,127.0.0.1,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
306,"Jun 1, 2026 @ 14:24:04.303",AH-A2F547FF,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,80,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
307,"Jun 1, 2026 @ 14:24:04.305",AH-7088201D,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,80,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
308,"Jun 1, 2026 @ 14:24:04.329",AH-E5210C99,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,100,CRITICAL,T1036,Masquerading,127.0.0.1,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
309,"Jun 1, 2026 @ 14:24:15.348",AH-3290448C,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,80,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
310,"Jun 1, 2026 @ 14:24:15.351",AH-8CDE67A5,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,80,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
311,"Jun 1, 2026 @ 14:24:15.825",AH-CAFBDA2F,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,80,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
312,"Jun 1, 2026 @ 14:24:15.846",AH-65573E81,TA0001,Initial Access,0,C:\Users\Public\Pictures\kelotopu\uusd.exe,,Malware Staging | Network Outlier | Sigma Match,80,CRITICAL,T1036,Masquerading,,,Execution from user-writable path: c:\users\public\pictures\kelotopu\uusd.exe ; High distinct destinations for uusd.exe ; Executable running from Users/ directory — possible dropper
