IOC Type,IOC Value,Source,Context,Timestamp,Risk,TI Verdict,TI Tags,TI Confidence
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_decimal.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.761",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_hashlib.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.763",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_lzma.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.766",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_socket.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.768",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_uuid.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.770",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\_wmi.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.772",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\base_library.zip,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.788",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\campus.py,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.795",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\002.xml,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.796",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\002_b.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.799",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\002_d.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.800",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\002_n.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.802",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\002a.txt,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.821",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\002w.txt,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.823",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\pack.js,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.824",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\data_p002\uusd.exe,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.934",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\libcrypto-3.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.979",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\libffi-8.dll,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.980",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\psutil\_psutil_windows.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.982",Medium,Suspicious,Suspicious path,70
File Path,C:\Users\DELL\AppData\Local\Temp\_MEI127562\pyarmor_runtime_000000\pyarmor_runtime.pyd,file.path,Process: C:\Users\DELL\office_portable_x3.exe,"Jun 1, 2026 @ 14:23:04.990",Medium,Suspicious,Suspicious path,70
